cd_material,ds_material,classe,tipo,classificacao
53476,MEMORIA RAM: 16GB DDR4 (2X8GB),Equipamentos de Informática,Equipamentos de Informática,Memória
63813,Memória 16gb DDR4 3200ghz (Modelo para notebook) ,Materiais de Informática,Materiais de Informática,Memória
63812,Memória 16gb DDR4 3200ghz (Modelo para PC),Materiais de Informática,Materiais de Informática,Memória
58093,MEMORIA SO DIMM DE 8GB,Equipamentos de Informática,Equipamentos de Informática,Memória
61292,"Unidade de Armazenamento de Dados Dell Storage SCv320 / (HDD 2.4TB, SSD 1.92TB)",Materiais de Informática,Materiais de Informática,Memória
56582,32 GB DE MEMÓRIA TOTAL DO SISTEMA (16 GB X 2) DDR4,Materiais de Informática,Materiais de Informática,Memória
54985,MEMORIA RAM 8GB DDR4 P/ NOTEBOOK/DELL OPTPLEX 3070,Equipamentos de Informática,Equipamentos de Informática,Memória
53436,"MONITOR LED 23,8 "" IPS WIDESCREEN 24MK430H LG",Equipamentos de Informática,Equipamentos de Informática,Monitor
57600,PROJETOR FULL HD 2500 LUMENS,Equipamentos de Informática,Equipamentos de Informática,Monitor
54850,"MONITOR DELL 21.5"" P2219H",Equipamentos de Informática,Equipamentos de Informática,Monitor
53005,MONITOR HP V19B - 18.5 - 2XM32AA#AC4,Materiais de Informática,Materiais de Informática,Monitor
62206,Monitor de Vídeo Desktop Custom - Modelo: ISM-1560E,Materiais de Informática,Materiais de Informática,Monitor
56418,"MONITOR DELL 18.5"" E1920H",Equipamentos de Informática,Equipamentos de Informática,Monitor
60524,"MONITOR PARA TOTEM ISM-1560E TOUCH SCREEN 15.6, VGA e USB, Preto - GPP156N12003X5",Materiais de Informática,Materiais de Informática,Monitor
56698,"MONITOR LCD 19"" SEMINOVO",Materiais de Informática,Materiais de Informática,Monitor
53009,MOUSE OTICO HP USB - 2ZY31AV,Materiais de Informática,Materiais de Informática,Mouse
54852,MOUSE OPTICO DELL USB MS116,Materiais de Informática,Materiais de Informática,Mouse
63018,"LEITOR DE CODIGO DE BARRAS COM FIO 1D,2D,Qr CODE PORTATIL USB INCLUI SUPORTE-NOVA VIDA",Materiais de Informática,Materiais de Informática,Outros
61444,"NOBREAK NEP - SENOIDAL, 1200VA, ENTRADA TRIVOLT, SAIDA 115V COM 06 TOMADAS",Equipamentos de Informática,Equipamentos de Informática,Outros
61077,ESPUMA AURICULAR PARA HEADSET,Materiais de Informática,Materiais de Informática,Outros
60540,NOBREAK APC BACK-UPS 600VA 115V-BZ600-BR,Equipamentos de Informática,Equipamentos de Informática,Outros
64708,Nobreak Apc Stay Microsol 700va Usb Ent Bivolt Saída 110v/115v Cinza-escuro Similar NHS Mini 4 e Ts Shara,Equipamentos de Informática,Equipamentos de Informática,Outros
65473,BATERIA ORIGINAL DELL LATITUDE 7000 7280 7480 7490 F3ygt,Materiais de Informática,Materiais de Informática,Outros
62210,CAIXA SELETORA ,Equipamentos de Informática,Equipamentos de Informática,Outros
87551,LEITOR DE CODIGO DE BARRAS QR CODE 2D Honeywell Xenon 1900,Materiais de Informática,Materiais de Informática,Outros
53482,GABINETE: MODELO MID TOWER,Equipamentos de Informática,Equipamentos de Informática,Outros
56006,LEITOR DE CODIGO DE BARRAS QR CODE,Materiais de Informática,Materiais de Informática,Outros
55002,RADIO COMUNICADOR BAOFENG WALKIE TALKIE BF-777S,Equipamentos de Informática,Equipamentos de Informática,Outros
53945,LEITOR DE CARTAO MAGNETICO USB,Equipamentos de Informática,Equipamentos de Informática,Outros
56464,CADEADO PARA SEGURANÇA DE NOTEBOOK CS-10,Equipamentos de Informática,Equipamentos de Informática,Outros
